Date,Account,Item ID,Listing SKU,Order ID,Feedback Type,Feedback Message,AI Category,AI Root Cause,AI Confidence %,Department,Priority,Business Impact,Repeat Item Count,Suggested Action,Owner,Status
2026-06-21,electricalsone,265660307012,WCB2BM+RPR44WH,02-14730-00922,Neutral,"Shade looks good but is so dense it cuts a 40W bulb down to roughly 1W of usable light.","Product Design - Light Output","The shade material is too opaque for a product of this size, so the fitting does not deliver usable light output; buyer bought on the basis of the photo with no indication of this.",85,"Product/Quality, Listing Content",Medium,Medium,0,"Escalate to the product team to review shade material opacity for this size, and set a light output expectation on the listing in the meantime.",Unassigned,Open
2026-06-20,electricalsone,267697027029,LSGLULCL+RPM40WH,20-14744-96040,Neutral,"Three lamps ordered but only 2 adapter rings arrived; the seller asked for photos before replacing one, so the buyer gave up and bought the ring elsewhere.","Fulfillment Short Shipment and Returns Process","A pick or pack error shorted the order by one adapter ring, and the photo-evidence step applied to a low-value missing part cost more buyer effort than the part was worth.",90,"Warehouse/Logistics, Customer Service",High,Medium,0,"Check pick accuracy on multi-quantity lamp and ring orders, and set a value threshold below which a missing part is simply reshipped without a photo request.",Unassigned,Open
2026-06-20,electricalsone,267668468006,LSGL9015CL2PK+RPM40WH2PK,20-14744-96040,Neutral,"Same buyer and same order as the other 2026-06-20 neutral: praises price and delivery speed but reports the missing adapter ring and the photo request that made them give up.","Fulfillment Short Shipment and Returns Process","Same single incident as the other 2026-06-20 row - one shorted order, feedback left against two separate items on the same order.",90,"Warehouse/Logistics, Customer Service",High,Medium,0,"Treat jointly with the other 2026-06-20 row - one incident, not two. Do not double-count when totalling issues by volume.",Unassigned,Open
2026-06-18,led_sone,166594959149,WLHSBMCY18,23-14586-56301,Neutral,"Soldering on the light is substandard and wires detach under the slightest pull; buyer salvaged parts from an old unit to make it work and warns others to be careful when wiring.","Product Defect - Solder Joint Integrity","Solder joints on the mains wiring connection are failing under minimal mechanical load, leaving live conductors able to detach inside a wired-in fitting.",90,"Product/Quality",High,High,3,"Escalate to product/QA for solder joint inspection on this SKU as a priority - detaching mains conductors in an installed fitting is a potential electrical safety issue, not just a quality complaint.",Unassigned,Open
2026-07-07,coventrylights,306321116499,LHPOE27BM2PK,13-14831-88656,Negative,"Order was never dispatched and the buyer was only told the item was out of stock on the day delivery was due.","Fulfillment Issue - Stock Availability","Item remained sellable while out of stock, and the unfulfillable order was not flagged to the buyer until the promised delivery date had arrived.",90,"Warehouse/Logistics, Customer Service",High,High,1,"Review inventory sync and stock accuracy; add a proactive buyer notification the moment an order is identified as unfulfillable rather than at the delivery date.",Unassigned,Open
2026-07-03,led_sone,163783451223,WCWYRE,02-14728-32208,Negative,"Item arrived much smaller than the listing text led the buyer to expect, and they were told to pay return postage to get a refund.","Listing Accuracy / Refund Dispute","Listing text omits the size or scale of the product, creating an expectation mismatch on arrival; the return was then treated as a change-of-mind return with buyer-paid postage rather than a not-as-described case.",90,"Listing Content, Customer Service",High,High,4,"Audit listing description accuracy - add explicit dimensions and an in-scale image; review how not-as-described returns are triaged, since charging return postage on these escalated the complaint.",Unassigned,Open
2026-06-23,vintageinterior,257495259691,PHCT1BMRBM+RBPHBA1BMRBM+RBLSYG410YE,06-14782-38373,Negative,"Item advertised for 2-3 day delivery was never handed to the carrier, and the buyer received three conflicting explanations while chasing it.","Fulfillment Issue - Non-Dispatch with Inconsistent Communication","Item was sold against stock that was not physically available so it was never dispatched, and support issued successive contradictory explanations instead of confirming the true dispatch status.",95,"Warehouse/Logistics, Customer Service",High,High,1,"Review inventory sync and stock accuracy; give support a single authoritative dispatch/handover status to quote so buyers are not given conflicting reasons.",Unassigned,Open
2026-06-18,led_sone,165397658552,CRSF100BM+CL3TBM+LHSHE27BA,21-14728-05069,Negative,"Buyer likes the product but cannot open the fitting to wire it up, and requested a refund after slow seller responses.","Product Defect / Serviceability","The fitting cannot be opened to reach the wiring terminal - either an enclosure design or assembly fault, or missing wiring instructions - and slow support responses turned a fixable issue into a refund request.",75,"Product/Quality, Customer Service",Medium,Medium,2,"Escalate to product team for design review of enclosure access on this combo; confirm wiring instructions ship with the unit and check support response times on this account.",Unassigned,Open
2026-06-17,coventrylights,305715611096,WCFWROBM+RPR44WH,27-14720-23663,Negative,"Buyer was satisfied except for difficulty with the returns process; no specific detail was given.","Returns Process","Some friction in the returns journey was enough to trigger negative feedback, but the comment does not say what went wrong.",55,"Customer Service",Low,Low,2,"Pull the return case for this order to identify the specific friction point before drawing any conclusion - the comment alone does not support a fix.",Unassigned,Open
2026-06-16,electricalsone,267567837254,CRSF100HBM+PSDS2BPB+WSCH135BM+LSCY210BM,20-14640-09628,Negative,"Buyer reports the parcel was lost in transit.","Shipping Issue - Lost Parcel","Parcel did not reach the buyer after dispatch, most likely lost by the carrier, though the comment does not confirm whether a carrier handover actually took place.",65,"Warehouse/Logistics",Medium,Medium,1,"Raise a carrier claim and verify a handover scan exists for this consignment - if no scan, this is a non-dispatch case like the 2026-06-23 feedback, not a carrier loss.",Unassigned,Open
